exp_name,task_type,model_arch,model_size,rep,N,n_size,D,K,K_list,G,encoding,n_layer,n_embd,n_head,lr,wd,nsteps,support_size,stat_mem_frac,stat_mem_thresh,rule_onset_acc85,rule_onset_acc90,rule_onset_acc95,row_onset_90,col_onset_90,block_onset_90,mem_onset_mem10,mem_onset_mem20,mem_onset_mem35,mem_onset_mem50,mem_onset_stat,novel_onset_01,novel_onset_05,novel_onset_09
GPT_mini_parity_N4096_D36_G6_even_lr1e3,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.001,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,,,,,,,,,,,,,,
GPT_mini_parity_N4096_D36_G6_even_lr1e4,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,2692.0,2916.0,3460.0,2324.0,,,15888.0,15888.0,16144.0,16656.0,15888.0,1828.0,2260.0,2916.0
GPT_mini_parity_N4096_D36_G6_even_lr1e5,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,1e-05,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,11536.0,13328.0,18448.0,10512.0,,,37648.0,40464.0,43536.0,47376.0,37648.0,9480.0,10512.0,13328.0
GPT_mini_parity_N4096_D36_G6_even_lr3e3,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.003,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,,,,,,,,,,,,,,
GPT_mini_parity_N4096_D36_G6_even_lr3e4,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0003,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,6920.0,7304.0,8328.0,6024.0,,,5384.0,5512.0,5640.0,6024.0,5384.0,4836.0,,
GPT_mini_parity_N4096_D36_G6_even_lr3e5,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,3e-05,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,8328.0,8328.0,8328.0,8072.0,,,12048.0,12816.0,14352.0,15632.0,12048.0,3556.0,8072.0,8328.0
GPT_mini_parity_N4096_D36_G6_even_wd0,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,0.0,100000,1073741824,3.814697265625e-06,0.10000381469726563,7816.0,8456.0,9736.0,6152.0,,,5640.0,5896.0,6280.0,6792.0,5640.0,4484.0,,
GPT_mini_parity_N4096_D36_G6_even_wd1e0,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,1.0,100000,1073741824,3.814697265625e-06,0.10000381469726563,,,,11280.0,,,30224.0,36368.0,51024.0,67920.0,30224.0,2244.0,,
GPT_mini_parity_N4096_D36_G6_even_wd1e1,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,0.1,100000,1073741824,3.814697265625e-06,0.10000381469726563,9608.0,10512.0,12304.0,7176.0,,,7304.0,7816.0,8328.0,8968.0,7304.0,1844.0,,
GPT_mini_parity_N4096_D36_G6_even_wd1e2,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,10256.0,10768.0,12048.0,2852.0,,,8072.0,8584.0,8968.0,9608.0,8072.0,1908.0,4996.0,
GPT_mini_parity_N4096_D36_G6_even_wd1e3,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,0.001,100000,1073741824,3.814697265625e-06,0.10000381469726563,9224.0,9992.0,10512.0,4868.0,,,8456.0,8968.0,9608.0,10256.0,8456.0,2484.0,6024.0,
GPT_mini_parity_N4096_D36_G6_even_wd3e1,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,0.3,100000,1073741824,3.814697265625e-06,0.10000381469726563,2356.0,2692.0,3396.0,1860.0,,,21008.0,22032.0,23056.0,24080.0,21008.0,1492.0,1732.0,2692.0
GPT_mini_parity_N4096_D36_G6_even_wd5e2,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,0.05,100000,1073741824,3.814697265625e-06,0.10000381469726563,9096.0,9608.0,11280.0,3204.0,,,7176.0,7560.0,7944.0,8456.0,7176.0,2116.0,5768.0,
GPT_mini_parity_N4096_D36_G9_even,parity,GPT,mini,1,4096,,36.0,,,9.0,,,,,0.0001,0.01,100000,4294967296,9.5367431640625e-07,0.10000095367431641,9352.0,10000.0,11536.0,8584.0,,,6408.0,6664.0,7176.0,7560.0,6408.0,2596.0,,
GPT_mini_parity_N8192_D36_G12_even,parity,GPT,mini,1,8192,,36.0,,,12.0,,,,,0.0001,0.01,100000,8589934592,9.5367431640625e-07,0.10000095367431641,18192.0,18960.0,21520.0,16656.0,,,12048.0,12816.0,13840.0,14608.0,12048.0,1.0,,
GPT_mini_parity_N8192_D36_G18_even,parity,GPT,mini,1,8192,,36.0,,,18.0,,,,,0.0001,0.01,100000,17179869184,4.76837158203125e-07,0.10000047683715821,22544.0,24592.0,29200.0,23056.0,,,12304.0,13328.0,14864.0,16912.0,12304.0,1.0,,
GPT_mini_parity_N8192_D36_G2_even,parity,GPT,mini,1,8192,,36.0,,,2.0,,,,,0.0001,0.01,100000,262144,0.03125,0.13125,70.0,70.0,78.0,54.0,,,13584.0,14608.0,16144.0,17168.0,13840.0,50.0,58.0,74.0
GPT_mini_parity_N8192_D36_G36_even,parity,GPT,mini,1,8192,,36.0,,,36.0,,,,,0.0001,0.01,100000,34359738368,2.384185791015625e-07,0.10000023841857911,24848.0,25872.0,29712.0,25872.0,,,16144.0,17936.0,19472.0,21008.0,16144.0,1.0,2564.0,
GPT_mini_parity_N8192_D36_G3_even,parity,GPT,mini,1,8192,,36.0,,,3.0,,,,,0.0001,0.01,100000,16777216,0.00048828125,0.10048828125,292.0,292.0,300.0,268.0,,,10512.0,11024.0,12048.0,12560.0,10512.0,252.0,276.0,292.0
GPT_mini_parity_N8192_D36_G4_even,parity,GPT,mini,1,8192,,36.0,,,4.0,,,,,0.0001,0.01,100000,134217728,6.103515625e-05,0.10006103515625,4292.0,4388.0,4420.0,3972.0,,,12560.0,13072.0,13840.0,14864.0,12560.0,2308.0,4228.0,4388.0
GPT_mini_parity_N8192_D36_G6_even,parity,GPT,mini,1,8192,,36.0,,,6.0,,,,,0.0001,0.01,100000,1073741824,7.62939453125e-06,0.10000762939453126,14352.0,15632.0,16656.0,9352.0,,,13072.0,13584.0,14096.0,14608.0,13072.0,3140.0,,
GPT_mini_parity_N8192_D36_G9_even,parity,GPT,mini,1,8192,,36.0,,,9.0,,,,,0.0001,0.01,100000,4294967296,1.9073486328125e-06,0.10000190734863282,19728.0,21264.0,23568.0,17424.0,,,13840.0,14864.0,15632.0,16400.0,13840.0,3876.0,,
GPT_nano_parity_N4096_D36_G12_even,parity,GPT,nano,1,4096,,36.0,,,12.0,,,,,0.0001,0.01,100000,8589934592,4.76837158203125e-07,0.10000047683715821,12560.0,13584.0,15376.0,11536.0,,,6536.0,7304.0,8072.0,8968.0,6536.0,1.0,,
GPT_nano_parity_N4096_D36_G18_even,parity,GPT,nano,1,4096,,36.0,,,18.0,,,,,0.0001,0.01,100000,17179869184,2.384185791015625e-07,0.10000023841857911,12560.0,14352.0,18192.0,12560.0,,,6408.0,7304.0,8456.0,9224.0,6408.0,1.0,,
